customer_id,typical_invoice_paise,warm_up_ontime,warm_up_late
cust_b2b_000,4901146,3,1
cust_b2b_001,6913707,4,2
cust_b2b_002,3801865,13,1
cust_b2b_003,4791489,6,4
cust_b2b_004,3137208,4,2
cust_b2b_005,7773487,15,4
cust_b2b_006,5552088,11,5
cust_b2b_007,4281583,12,4
cust_b2b_008,8069984,6,2
cust_b2b_009,5866019,10,1
cust_b2b_010,2917991,7,1
cust_b2b_011,1634935,8,5
cust_b2b_012,3837830,8,7
cust_b2b_013,2414240,13,5
cust_b2b_014,10599524,10,4
cust_b2b_015,9621347,7,2
cust_b2b_016,9937620,18,3
cust_b2b_017,6524472,12,2
cust_b2b_018,2035389,6,4
cust_b2b_019,3406540,10,2
cust_b2b_020,5361671,13,1
cust_b2b_021,9164842,9,3
cust_b2b_022,1884169,7,3
cust_b2b_023,2251295,12,6
cust_b2b_024,4547517,3,3
cust_b2b_025,10141428,10,4
cust_b2b_026,4769981,8,2
cust_b2b_027,2781534,13,4
cust_b2b_028,5142691,7,2
cust_b2b_029,5598148,4,2
cust_b2b_030,2373172,11,2
cust_b2b_031,13771656,10,4
cust_b2b_032,6566914,8,4
cust_b2b_033,4360981,9,9
cust_b2b_034,5201025,8,2
cust_b2b_035,5290311,5,1
cust_b2b_036,3740407,14,2
cust_b2b_037,2896963,8,6
cust_b2b_038,4312684,12,0
cust_b2b_039,10879821,6,4
