customer_id,bank,ltv_amount_paise,warm_up_successful,warm_up_failed,typical_amount_paise,p90_amount_paise
cust_000,ICICI,1000976,51,10,127304,274661
cust_001,AXIS,727301,77,10,527351,1137771
cust_002,KOTAK,495774,73,3,307350,663114
cust_003,KOTAK,1525049,68,12,220245,475183
cust_004,AXIS,548261,56,14,421382,909142
cust_005,KOTAK,386579,65,9,130897,282412
cust_006,HDFC,518642,87,6,130133,280765
cust_007,SBI,460902,58,4,314642,678847
cust_008,SBI,834451,71,15,213192,459966
cust_009,YES,277958,60,13,118945,256626
cust_010,HDFC,638283,89,13,79043,170537
cust_011,SBI,528114,69,5,59276,127890
cust_012,ICICI,445980,63,7,541595,1168503
cust_013,AXIS,421091,63,11,171934,370951
cust_014,HDFC,314351,65,6,66833,144193
cust_015,HDFC,1183425,75,5,117924,254424
cust_016,SBI,430158,68,8,116393,251119
cust_017,KOTAK,869806,60,11,511793,1104204
cust_018,KOTAK,465062,46,11,144928,312685
cust_019,YES,440443,66,11,119675,258202
cust_020,SBI,685982,70,7,61283,132219
cust_021,ICICI,627418,81,12,215049,463972
cust_022,YES,397957,76,6,112307,242305
cust_023,ICICI,1053920,66,6,84116,181483
cust_024,AXIS,165219,57,7,95702,206479
cust_025,HDFC,702882,69,7,216175,466402
cust_026,SBI,1462053,57,6,227571,490990
cust_027,KOTAK,312259,63,14,79621,171784
cust_028,KOTAK,822638,61,10,228730,493491
cust_029,KOTAK,308719,83,11,44741,96529
cust_030,SBI,1406062,69,11,172942,373126
cust_031,AXIS,625744,64,6,53779,116030
cust_032,KOTAK,780168,70,7,324689,700523
cust_033,HDFC,490234,83,5,79781,172129
cust_034,HDFC,430638,54,7,54092,116705
cust_035,YES,869761,68,10,43841,94589
cust_036,YES,408978,85,11,339041,731489
cust_037,SBI,516622,65,9,159583,344304
cust_038,HDFC,1711673,79,12,44577,96176
cust_039,YES,376885,63,13,251780,543220
cust_040,KOTAK,449429,61,7,217435,469121
cust_041,KOTAK,813465,74,13,263142,567734
cust_042,ICICI,747801,74,9,232387,501380
cust_043,KOTAK,634588,55,10,144261,311247
cust_044,SBI,300138,79,15,226958,489666
cust_045,HDFC,1080236,61,5,87302,188355
cust_046,HDFC,248246,63,12,106425,229613
cust_047,HDFC,1459275,71,6,111056,239605
cust_048,KOTAK,467088,73,8,191478,413118
cust_049,KOTAK,746175,63,10,335246,723300
cust_050,ICICI,276967,72,11,116625,251620
cust_051,YES,229315,73,12,609108,1314164
cust_052,ICICI,207317,60,8,145763,314486
cust_053,AXIS,628252,81,8,320052,690520
cust_054,AXIS,363621,76,15,98871,213316
cust_055,KOTAK,214741,71,15,312354,673911
cust_056,HDFC,546478,68,8,159342,343784
cust_057,AXIS,404426,68,16,81870,176636
cust_058,HDFC,2468286,70,8,242530,523263
cust_059,ICICI,493237,61,9,165375,356799
